Line	altrad_heli	cpi135k_prelim	cpi1800_prelim	cpi400_prelim	cpi40k_prelim	cpi8200_prelim	cpq135k_prelim	cpq1800_prelim	cpq400_prelim	cpq40k_prelim	cpq8200_prelim	cpsp	cxi3300_prelim	cxq3300_prelim	cxsp	date	dep135k	dep1800	dep400	dep40k	dep8200	diurnal	dres_200_by5m[0]	dres_200_by5m[1]	dres_200_by5m[2]	dres_200_by5m[3]	dres_200_by5m[4]	dres_200_by5m[5]	dres_200_by5m[6]	dres_200_by5m[7]	dres_200_by5m[8]	dres_200_by5m[9]	dres_200_by5m[10]	dres_200_by5m[11]	dres_200_by5m[12]	dres_200_by5m[13]	dres_200_by5m[14]	dres_200_by5m[15]	dres_200_by5m[16]	dres_200_by5m[17]	dres_200_by5m[18]	dres_200_by5m[19]	dres_200_by5m[20]	dres_200_by5m[21]	dres_200_by5m[22]	dres_200_by5m[23]	dres_200_by5m[24]	dres_200_by5m[25]	dres_200_by5m[26]	dres_200_by5m[27]	dres_200_by5m[28]	dres_200_by5m[29]	dres_200_by5m[30]	dres_200_by5m[31]	dres_200_by5m[32]	dres_200_by5m[33]	dres_200_by5m[34]	dres_200_by5m[35]	dres_200_by5m[36]	dres_200_by5m[37]	dres_200_by5m[38]	dres_200_by5m[39]	dres_200_by5m[40]	dtm	fid	flight	gpsz_tx	mag_diu	mag_lag	powerline	res135k	res1800	res400	res40k	res8200	time_ssm	x_tx	y_tx
L120030	70.31295379	398.4786987	59.79851151	17.14438629	198.6611328	119.2921448	502.0415039	58.69593811	31.75485802	206.7980652	90.55906677	0.000100529	28.84635162	28.41770935	3.08E-05	20230816	-36.58724213	4.343818665	0.173210144	-22.09693146	-2.330978394	57258.36784	1005.397888	1005.397888	1005.397888	955.1671753	732.8937378	562.3447266	431.4835815	225.7068787	8.478694916	1.07532084	2.107423544	4.130147934	7.370064735	9.116868973	11.27768993	13.95065498	17.25714874	21.34732437	26.40692902	32.66572571																						107.9260994	3550.3	29006	148.58876	57355.66116	57394.029	0.000310625	1005.397888	34.94146729	34.75775146	380.9665527	70.3007431	53172.3	386313.6246	7202017.208
L120030	70.23893352	396.7938843	59.82344055	17.16116714	198.4822998	119.2680893	499.8699036	58.64412308	31.62814331	206.1887054	90.51313782	0.000209977	28.85309601	28.44953728	1.33E-05	20230816	-36.46319199	4.464851379	0.531997681	-21.94694138	-2.242790222	57258.37954	1008.122742	1008.122742	1008.122742	956.7017212	732.9870605	561.5856934	430.26474	219.8375092	8.239433289	1.078919768	2.096545219	4.073984146	7.21451664	8.951574326	11.10686874	13.78109837	17.09920883	21.21623039	26.3245182	32.66274261																						107.9187559	3550.4	29006	148.52578	57355.67246	57394.052	0.000933832	1008.122742	34.86820221	34.57968903	380.1360474	70.27638245	53172.4	386313.2861	7202014.463
L120030	70.1700387	394.9534912	59.83592606	17.24027252	198.383255	119.3050613	498.1105347	58.60243988	31.41815186	205.7148438	90.47528076	0.000177503	28.88429832	28.46915054	4.86E-06	20230816	-36.36914444	4.569122314	1.190513611	-21.81600189	-2.158035278	57258.39124	1012.621643	1012.621643	1012.621643	959.8512573	734.0142212	561.3128052	429.2452393	214.2703552	8.007735252	1.083719969	2.104526997	4.086880207	7.207995892	8.939495087	11.08693314	13.75022697	17.05329514	21.14982414	26.23041725	32.53146744																						107.906287	3550.5	29006	148.4628	57355.67676	57394.068	0.000582384	1012.621643	34.81842422	34.12349319	379.332489	70.18136597	53172.5	386312.9476	7202011.718
L120030	70.10403508	393.1929626	59.8388176	17.34964371	198.3630371	119.4067383	496.8542175	58.57883453	31.15068245	205.3121033	90.42920685	0.000109016	28.93206978	28.46940422	5.54E-06	20230816	-36.29990387	4.653831482	2.032104492	-21.68787384	-2.068641663	57258.40294	1018.020203	1018.020203	1018.020203	963.578125	735.1815796	560.9217529	427.9667053	207.5862122	7.725233078	1.09101212	2.132350922	4.167617321	7.343578339	9.073718071	11.21147633	13.85288906	17.1166153	21.14927292	26.13201904	32.28869629																						107.8909269	3550.6	29006	148.39982	57355.70306	57394.106	0.000826591	1018.020203	34.79529953	33.51959229	378.3459778	69.99125671	53172.6	386312.609	7202008.973
L120030	70.03725258	391.7301331	59.83801651	17.46330452	198.4085083	119.5632553	496.0066528	58.57906723	30.85937309	204.9035645	90.36549377	0.000175039	28.98522186	28.43905449	2.05E-05	20230816	-36.2401886	4.720161438	2.938468933	-21.55825806	-1.968429565	57258.41464	1023.034485	1023.034485	1023.034485	966.6783447	735.7733154	560.0232544	426.2536316	199.6851501	7.389349461	1.101027727	2.178775311	4.31148243	7.606763363	9.33768177	11.46247101	14.070755	17.2725544	21.20292282	26.02764511	31.35544968																						107.8763457	3550.7	29006	148.33684	57355.77036	57394.185	0.000724564	1023.034485	34.79644012	32.88394547	377.1455078	69.70845795	53172.7	386312.2705	7202006.228
L120030	69.96602904	390.683136	59.83700562	17.55623627	198.5067596	119.7510376	495.3382568	58.60220337	30.58021164	204.4434814	90.28540802	0.000183038	29.03125	28.3721981	4.19E-05	20230816	-36.1710701	4.773643494	3.798973083	-21.41291809	-1.855941772	57258.42634	1026.498291	1026.498291	1026.498291	967.9591064	735.0020142	558.1103516	423.7908936	189.9875641	6.980939388	1.114789844	2.241054296	4.505175591	7.963365078	9.694741249	11.80254841	14.36863136	17.49262428	21.29582977	25.92591858	30.36894798																						107.8662056	3550.8	29006	148.27386	57355.87366	57394.3	0.000561967	1026.498291	34.81691742	32.32737732	375.6130676	69.36638641	53172.8	386311.932	7202003.483
L120030	69.88848475	390.0541687	59.83685684	17.58471489	198.6553955	119.9370575	494.6051331	58.64002228	30.34041023	203.9434967	90.19741821	0.000138253	29.05862999	28.273983	4.40E-05	20230816	-36.0785408	4.82270813	4.436500549	-21.25186157	-1.73474884	57258.43804	1027.761475	1027.761475	1027.761475	966.8875122	732.6119995	555.1011353	420.6009216	179.0072937	6.525637627	1.131878376	2.31118083	4.719197273	8.351581573	10.0843935	12.17673397	14.70320034	17.75386429	21.43749046	25.88540649																							107.8623861	3550.9	29006	148.21088	57355.98296	57394.421	0.000591586	1027.761475	34.84863281	32.00257492	373.7896423	69.01865387	53172.9	386311.5935	7202000.737
L120030	69.80325974	389.7580566	59.84012985	17.48594093	198.8527222	120.0890427	493.683197	58.68484497	30.14308357	203.4636841	90.11357117	0.000241792	29.06295586	28.158741	1.43E-05	20230816	-35.95783234	4.875259399	4.718032837	-21.08267975	-1.609855652	57258.44974	1026.917236	1026.917236	1026.917236	963.751709	728.9291992	551.3222046	416.9900208	167.8861389	6.072554588	1.150777936	2.379584789	4.920518398	8.709107399	10.45213985	12.54402065	15.05456829	18.06757545	21.68360138	26.0233345																							107.8662474	3551	29006	148.1479	57356.06726	57394.517	0.00035498	1026.917236	34.88201904	32.09568024	371.8349609	68.72143555	53173	386311.255	7201997.992
L120030	69.71016338	389.6636047	59.8506813	17.22465515	199.0911713	120.1875839	492.6151428	58.73329926	29.96774864	203.0728607	90.04533386	0.000172572	29.04863739	28.04694748	4.12E-05	20230816	-35.81519318	4.935302734	4.599105835	-20.91592407	-1.486289978	57258.46153	1024.710571	1024.710571	1024.710571	959.4785767	724.6790771	547.3387451	413.3963623	157.7807465	5.668138027	1.169374347	2.437778234	5.082002163	8.989850998	10.75873184	12.87566662	15.40913773	18.44110489	22.06965637	26.41217613	30.9565773																						107.8743617	3551.1	29006	148.07003	57356.11647	57394.578	0.000618948	1024.710571	34.90961838	32.70489883	369.951416	68.51273346	53173.1	386311.0374	7201995.248
L120030	69.61108841	389.6491394	59.87240982	16.82423019	199.3714142	120.2336502	491.550354	58.78537369	29.78940773	202.8100433	90.01145935	0.000176427	29.02719307	27.96055794	1.84E-05	20230816	-35.6639328	5.002258301	4.150474548	-20.75918198	-1.372344971	57258.47331	1022.115417	1022.115417	1022.115417	955.0621948	720.5162354	543.5705566	410.0794983	149.0864258	5.327021122	1.186445951	2.481275558	5.189219475	9.169680595	10.97792912	13.14276218	15.73449707	18.83731842	22.5520134	26.99923897	32.323452																						107.88814	3551.2	29006	147.99216	57356.13869	57394.612	0.000676301	1022.115417	34.92676163	33.77439499	368.2362061	68.4128952	53173.2	386310.8199	7201992.504
